State,Federal_Share,DOGEIntensity_it
Alabama,0.06,0.0072
Alaska,0.08,0.0096
Arizona,0.04,0.0048
Arkansas,0.05,0.006
California,0.03,0.0036
Colorado,0.06,0.0072
Connecticut,0.02,0.0024
Delaware,0.02,0.0024
District of Columbia,0.28,0.033600000000000005
Florida,0.02,0.0024
Georgia,0.03,0.0036
Hawaii,0.07,0.008400000000000001
Idaho,0.03,0.0036
Illinois,0.02,0.0024
Indiana,0.02,0.0024
Iowa,0.02,0.0024
Kansas,0.04,0.0048
Kentucky,0.03,0.0036
Louisiana,0.03,0.0036
Maine,0.03,0.0036
Maryland,0.1,0.012
Massachusetts,0.02,0.0024
Michigan,0.02,0.0024
Minnesota,0.02,0.0024
Mississippi,0.05,0.006
Missouri,0.03,0.0036
Montana,0.04,0.0048
Nebraska,0.03,0.0036
Nevada,0.02,0.0024
New Hampshire,0.02,0.0024
New Jersey,0.02,0.0024
New Mexico,0.065,0.0078
New York,0.025,0.003
North Carolina,0.03,0.0036
North Dakota,0.03,0.0036
Ohio,0.02,0.0024
Oklahoma,0.04,0.0048
Oregon,0.02,0.0024
Pennsylvania,0.02,0.0024
Rhode Island,0.02,0.0024
South Carolina,0.03,0.0036
South Dakota,0.03,0.0036
Tennessee,0.03,0.0036
Texas,0.04,0.0048
Utah,0.04,0.0048
Vermont,0.03,0.0036
Virginia,0.12,0.0144
Washington,0.03,0.0036
West Virginia,0.04,0.0048
Wisconsin,0.02,0.0024
Wyoming,0.04,0.0048
