state_name,DOGE_Intensity_EmploymentBased,DOGE_Intensity_BudgetBased,DOGE_Intensity_WeightedAverage
Alabama,0.003274,0.000709,0.001992
Alaska,0.0054,0.00117,0.003285
Arizona,0.00236,0.000511,0.001436
Arkansas,0.00183,0.000396,0.001113
California,0.001687,0.000365,0.001026
Colorado,0.00243,0.000526,0.001478
Connecticut,0.001464,0.000317,0.000891
Delaware,0.00228,0.000494,0.001387
District of Columbia,0.01584,0.003432,0.009636
Florida,0.001783,0.000386,0.001085
Georgia,0.002546,0.000552,0.001549
Hawaii,0.00534,0.001157,0.003248
Idaho,0.00246,0.000533,0.001497
Illinois,0.001793,0.000388,0.001091
Indiana,0.00176,0.000381,0.001071
Iowa,0.00162,0.000351,0.000985
Kansas,0.00243,0.000526,0.001478
Kentucky,0.00206,0.000446,0.001253
Louisiana,0.00216,0.000468,0.001314
Maine,0.00204,0.000442,0.001241
Maryland,0.008655,0.001875,0.005265
Massachusetts,0.00144,0.000312,0.000876
Michigan,0.001412,0.000306,0.000859
Minnesota,0.00129,0.000279,0.000785
Mississippi,0.00291,0.00063,0.00177
Missouri,0.00216,0.000468,0.001314
Montana,0.00342,0.000741,0.00208
Nebraska,0.00208,0.000451,0.001265
Nevada,0.00225,0.000487,0.001369
New Hampshire,0.0021,0.000455,0.001278
New Jersey,0.00146,0.000316,0.000888
New Mexico,0.00576,0.001248,0.003504
New York,0.001671,0.000362,0.001016
North Carolina,0.002091,0.000453,0.001272
North Dakota,0.00276,0.000598,0.001679
Ohio,0.001736,0.000376,0.001056
Oklahoma,0.004104,0.000889,0.002497
Oregon,0.00154,0.000334,0.000937
Pennsylvania,0.001765,0.000382,0.001074
Rhode Island,0.00264,0.000572,0.001606
South Carolina,0.002091,0.000453,0.001272
South Dakota,0.00276,0.000598,0.001679
Tennessee,0.002413,0.000523,0.001468
Texas,0.002113,0.000458,0.001285
Utah,0.00246,0.000533,0.001497
Vermont,0.00204,0.000442,0.001241
Virginia,0.006545,0.001418,0.003982
Washington,0.002604,0.000564,0.001584
West Virginia,0.00366,0.000793,0.002226
Wisconsin,0.00117,0.000253,0.000712
Wyoming,0.00348,0.000754,0.002117
