"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","231,791,117","±66,347"
"    No schooling completed","4,664,092","±45,459"
"    Nursery school","71,633","±5,608"
"    Kindergarten","62,150","±5,368"
"    1st grade","98,100","±6,612"
"    2nd grade","206,341","±10,346"
"    3rd grade","420,750","±14,320"
"    4th grade","308,789","±13,477"
"    5th grade","496,481","±15,855"
"    6th grade","1,906,446","±33,205"
"    7th grade","606,901","±16,736"
"    8th grade","1,870,118","±30,532"
"    9th grade","2,451,189","±35,986"
"    10th grade","2,763,917","±39,237"
"    11th grade","3,188,897","±38,275"
"    12th grade, no diploma","4,582,649","±40,955"
"    Regular high school diploma","50,835,531","±170,434"
"    GED or alternative credential","9,270,393","±59,678"
"    Some college, less than 1 year","15,040,320","±78,962"
"    Some college, 1 or more years, no degree","28,660,664","±108,135"
"    Associate's degree","20,469,668","±82,364"
"    Bachelor's degree","50,567,878","±169,592"
"    Master's degree","23,772,531","±118,017"
"    Professional school degree","5,487,904","±48,983"
"    Doctorate degree","3,987,775","±41,654"
