"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"0500000US01003","Baldwin County, Alabama","184852","865","2165","1239","17","33","0","210","0","210","0","210","0","210","74","110","0","210","561","860","117","197","629","601","2143","810","2637","1099","2553","1400","3079","923","42015","4097","11062","2450","13735","2087","25874","3276","18948","2726","39152","4116","14009","2364","3763","1429","2319","876",
"0500000US01015","Calhoun County, Alabama","78420","833","1376","637","0","210","0","210","0","210","0","210","0","210","0","210","0","210","34","60","710","389","822","470","2049","826","1292","607","2438","1003","1217","579","19072","2053","4143","991","6662","1290","12053","2091","7995","1327","10275","1600","6755","1440","985","482","542","404",
"0500000US01043","Cullman County, Alabama","64307","746","782","436","77","132","0","210","0","210","0","210","78","122","0","210","0","210","85","133","310","314","539","338","850","499","3020","1194","1304","526","1518","632","17129","1883","4036","1018","6038","1195","8762","1741","8714","1981","7026","1406","3086","950","503","394","450","279",
"0500000US01049","DeKalb County, Alabama","48611","576","1772","675","0","210","0","210","0","210","0","210","0","210","84","133","197","245","836","718","230","223","1119","499","918","517","1750","724","463","325","1067","534","15658","1810","3364","821","3560","911","5092","914","5959","1263","4553","1041","1490","602","313","211","186","152",
"0500000US01051","Elmore County, Alabama","63874","677","475","342","0","210","0","210","0","210","0","210","0","210","0","210","83","83","500","401","217","313","130","167","681","318","1117","662","1509","565","631","443","18208","2261","3761","799","4356","1233","8197","1319","6429","1397","12309","1889","4612","1590","348","249","311","334",
"0500000US01055","Etowah County, Alabama","72785","803","2784","1414","0","210","0","210","0","210","0","210","0","210","0","210","57","89","147","132","42","69","596","456","729","372","1504","579","1503","716","2292","976","21128","2515","3226","822","4437","850","13096","2061","8114","1359","7682","1597","3411","865","1352","570","685","395",
"0500000US01069","Houston County, Alabama","75141","203","1069","318","0","210","34","42","0","210","0","210","0","210","119","152","78","105","246","172","202","181","887","527","1165","384","1564","385","1983","614","2244","591","20470","1963","4036","753","5989","877","10170","1099","7689","1037","10264","948","5177","636","1183","341","572","213",
"0500000US01073","Jefferson County, Alabama","449622","612","4788","1490","56","95","0","210","23","40","76","136","118","141","90","92","409","314","1672","695","526","285","2220","901","4398","1116","6017","1515","10154","2149","7321","1815","96187","5347","15755","2268","23629","2547","70638","4984","40454","3576","96217","5366","43331","3717","15905","2041","9638","1908",
"0500000US01077","Lauderdale County, Alabama","65471","593","1299","606","0","210","0","210","0","210","0","210","0","210","0","210","0","210","225","274","135","224","1082","652","1236","890","821","410","545","372","1125","619","16870","1949","4158","1158","3574","1107","9470","1596","4164","894","11803","1808","5630","1343","1857","698","1477","832",
