"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0500000US01003","Baldwin County, Alabama","253507","*****",
"0500000US01015","Calhoun County, Alabama","116429","*****",
"0500000US01043","Cullman County, Alabama","92016","*****",
"0500000US01049","DeKalb County, Alabama","72569","*****",
"0500000US01051","Elmore County, Alabama","90441","*****",
"0500000US01055","Etowah County, Alabama","103241","*****",
"0500000US01069","Houston County, Alabama","108462","*****",
"0500000US01073","Jefferson County, Alabama","662895","*****",
"0500000US01077","Lauderdale County, Alabama","96814","*****",
"0500000US01081","Lee County, Alabama","183215","*****",
"0500000US01083","Limestone County, Alabama","114654","*****",
"0500000US01089","Madison County, Alabama","412600","*****",
"0500000US01095","Marshall County, Alabama","100756","*****",
"0500000US01097","Mobile County, Alabama","411640","*****",
"0500000US01101","Montgomery County, Alabama","224980","*****",
"0500000US01103","Morgan County, Alabama","125133","*****",
"0500000US01115","St. Clair County, Alabama","95552","*****",
"0500000US01117","Shelby County, Alabama","233000","*****",
"0500000US01121","Talladega County, Alabama","81132","*****",
"0500000US01125","Tuscaloosa County, Alabama","237373","*****",
"0500000US02020","Anchorage Municipality, Alaska","286075","*****",
"0500000US02090","Fairbanks North Star Borough, Alaska","94840","*****",
"0500000US02170","Matanuska-Susitna Borough, Alaska","115239","*****",
"0500000US04001","Apache County, Arizona","65036","*****",
"0500000US04003","Cochise County, Arizona","124640","*****",
"0500000US04005","Coconino County, Arizona","144472","*****",
"0500000US04013","Maricopa County, Arizona","4585871","*****",
"0500000US04015","Mohave County, Arizona","223682","*****",
"0500000US04017","Navajo County, Arizona","109175","*****",
"0500000US04019","Pima County, Arizona","1063162","*****",
"0500000US04021","Pinal County, Arizona","484239","*****",
"0500000US04025","Yavapai County, Arizona","249081","*****",
"0500000US04027","Yuma County, Arizona","213221","*****",
"0500000US05007","Benton County, Arkansas","311013","*****",
"0500000US05031","Craighead County, Arkansas","113993","*****",
"0500000US05045","Faulkner County, Arkansas","129951","*****",
"0500000US05051","Garland County, Arkansas","99784","*****",
"0500000US05069","Jefferson County, Arkansas","63661","*****",
"0500000US05085","Lonoke County, Arkansas","75944","*****",
"0500000US05119","Pulaski County, Arkansas","400009","*****",
"0500000US05125","Saline County, Arkansas","129574","*****",
"0500000US05131","Sebastian County, Arkansas","129098","*****",
"0500000US05143","Washington County, Arkansas","261549","*****",
"0500000US05145","White County, Arkansas","78452","*****",
"0500000US06001","Alameda County, California","1622188","*****",
"0500000US06007","Butte County, California","207172","*****",
"0500000US06013","Contra Costa County, California","1155025","*****",
"0500000US06017","El Dorado County, California","192215","*****",
"0500000US06019","Fresno County, California","1017162","*****",
"0500000US06023","Humboldt County, California","133985","*****",
"0500000US06025","Imperial County, California","179057","*****",
"0500000US06029","Kern County, California","913820","*****",
"0500000US06031","Kings County, California","152682","*****",
"0500000US06033","Lake County, California","67878","*****",
"0500000US06037","Los Angeles County, California","9663345","*****",
"0500000US06039","Madera County, California","162858","*****",
"0500000US06041","Marin County, California","254407","*****",
"0500000US06045","Mendocino County, California","89108","*****",
"0500000US06047","Merced County, California","291920","*****",
"0500000US06053","Monterey County, California","430723","*****",
"0500000US06055","Napa County, California","133216","*****",
"0500000US06057","Nevada County, California","102037","*****",
"0500000US06059","Orange County, California","3135755","*****",
"0500000US06061","Placer County, California","423561","*****",
"0500000US06065","Riverside County, California","2492442","*****",
"0500000US06067","Sacramento County, California","1584288","*****",
"0500000US06069","San Benito County, California","68175","*****",
"0500000US06071","San Bernardino County, California","2195611","*****",
"0500000US06073","San Diego County, California","3269973","*****",
"0500000US06075","San Francisco County, California","808988","*****",
"0500000US06077","San Joaquin County, California","800965","*****",
"0500000US06079","San Luis Obispo County, California","281639","*****",
"0500000US06081","San Mateo County, California","726353","*****",
"0500000US06083","Santa Barbara County, California","441257","*****",
"0500000US06085","Santa Clara County, California","1877592","*****",
"0500000US06087","Santa Cruz County, California","261547","*****",
"0500000US06089","Shasta County, California","180366","*****",
"0500000US06095","Solano County, California","449218","*****",
"0500000US06097","Sonoma County, California","481812","*****",
"0500000US06099","Stanislaus County, California","551430","*****",
"0500000US06101","Sutter County, California","97948","*****",
"0500000US06103","Tehama County, California","64896","*****",
"0500000US06107","Tulare County, California","479468","*****",
"0500000US06111","Ventura County, California","829590","*****",
"0500000US06113","Yolo County, California","220544","*****",
"0500000US06115","Yuba County, California","85722","*****",
"0500000US08001","Adams County, Colorado","533365","*****",
"0500000US08005","Arapahoe County, Colorado","656061","*****",
"0500000US08013","Boulder County, Colorado","326831","*****",
