Week,Y_it (Adjusted Continued Claims)
2020-01-04,41272.99254616793
2020-01-11,39132.40474637994
2020-01-18,36868.87037696685
2020-01-25,36687.27748903703
2020-02-01,36557.472495686685
2020-02-08,35618.86129240146
2020-02-15,35514.91911572426
2020-02-22,35325.177483545944
2020-02-29,36127.67718330945
2020-03-07,34623.479130144086
2020-03-14,34011.85559104566
2020-03-21,36652.37549627266
2020-03-28,60501.77413128793
2020-04-04,146483.55508648785
2020-04-11,227589.26922028526
2020-04-18,304609.7511600784
2020-04-25,336438.31752643385
2020-05-02,419337.9770361561
2020-05-09,408822.07727187383
2020-05-16,460635.7673881482
2020-05-23,382401.1862187451
2020-05-30,385684.39097967074
2020-06-06,389210.5342495824
2020-06-13,373104.6524727129
2020-06-20,352606.244458515
2020-06-27,341368.86008220515
2020-07-04,276830.78371798707
2020-07-11,289891.2377171475
2020-07-18,262987.3454274868
2020-07-25,270539.5671538744
2020-08-01,263362.8173060022
2020-08-08,257057.74854378158
2020-08-15,244890.04415984242
2020-08-22,241530.27045716948
2020-08-29,234894.0374669634
2020-09-05,240544.20612744824
2020-09-12,240389.09122717252
2020-09-19,238212.57282052134
2020-09-26,222667.50414174816
2020-10-03,209149.62866640824
2020-10-10,191543.01857971036
2020-10-17,177974.9754966573
2020-10-24,169105.50375020347
2020-10-31,158380.01574618096
2020-11-07,146474.46165064417
2020-11-14,142662.64529189514
2020-11-21,132796.7572956841
2020-11-28,128051.66586587738
2020-12-05,116751.21730113024
2020-12-12,116586.63484573223
2020-12-19,109873.03777015784
2020-12-26,108808.93867434908
2021-01-02,103142.81924730055
2021-01-09,100067.6027083046
2021-01-16,94278.14040407943
2021-01-23,91420.13830976463
2021-01-30,87744.98467659063
2021-02-06,85541.99962671932
2021-02-13,83677.42061497031
2021-02-20,82300.2743641689
2021-02-27,82767.93495977599
2021-03-06,76457.84344465699
2021-03-13,76726.44447740442
2021-03-20,74266.96818829651
2021-03-27,72201.0331025476
2021-04-03,71879.3490012689
2021-04-10,71367.21017499972
2021-04-17,71734.21927567755
2021-04-24,71492.0626804036
2021-05-01,72553.4572364337
2021-05-08,72296.14584268219
2021-05-15,73309.44003448667
2021-05-22,70349.63602286224
2021-05-29,70600.40808524849
2021-06-05,67858.57668281534
2021-06-12,65809.97356463355
2021-06-19,63864.631435517076
2021-06-26,63954.93697926152
2021-07-03,53889.1303092922
2021-07-10,52030.242696567184
2021-07-17,52280.121682512545
2021-07-24,52254.79686791075
2021-07-31,48371.53696439536
2021-08-07,48012.11781039235
2021-08-14,48545.95722053063
2021-08-21,49003.59237592424
2021-08-28,47890.85471894979
2021-09-04,48026.608623611886
2021-09-11,46036.54808064484
2021-09-18,48159.49094056052
2021-09-25,49814.35102271983
2021-10-02,49329.166849114335
2021-10-09,48529.145138046304
2021-10-16,47714.89308023147
2021-10-23,44984.58381116773
2021-10-30,43463.71768578039
2021-11-06,44205.85120471027
2021-11-13,41932.905573926706
2021-11-20,40807.079608662476
2021-11-27,38162.76545217412
2021-12-04,39569.41337413867
2021-12-11,36887.73547921715
2021-12-18,37064.768162057466
2021-12-25,34099.465166755814
2022-01-01,35939.59174597663
2022-01-08,35839.68608197802
2022-01-15,35663.88893406625
2022-01-22,35394.247640999754
2022-01-29,34666.476900480666
2022-02-05,34198.22893579146
2022-02-12,33484.176820824934
2022-02-19,32852.80216052838
2022-02-26,31926.927447953516
2022-03-05,32293.8432525467
2022-03-12,31133.19172806036
2022-03-19,30547.589107823536
2022-03-26,29743.462537988486
2022-04-02,29713.48239128398
2022-04-09,28706.075269659777
2022-04-16,27492.91114346409
2022-04-23,27295.601170457605
2022-04-30,27061.482533906998
2022-05-07,26112.404759096717
2022-05-14,25656.328538076043
2022-05-21,25911.546604831783
2022-05-28,25343.39120001358
2022-06-04,25577.170225900267
2022-06-11,25365.64015505113
2022-06-18,25486.11369960003
2022-06-25,25371.02359130008
2022-07-02,22866.331962870012
2022-07-09,22119.55509962483
2022-07-16,23258.80914076636
2022-07-23,23137.2438461227
2022-07-30,24024.287177539583
2022-08-06,24554.731076540786
2022-08-13,24632.55740533125
2022-08-20,24682.141364368388
2022-08-27,24917.186097785783
2022-09-03,24654.093657451966
2022-09-10,24663.765642811028
2022-09-17,24601.59111168663
2022-09-24,24567.627528079178
2022-10-01,25397.076147170028
2022-10-08,25805.253822134982
2022-10-15,26417.996588940074
2022-10-22,27816.417875116073
2022-10-29,28640.564148506404
2022-11-05,28719.49982243468
2022-11-12,28950.551265204576
2022-11-19,30136.332205115235
2022-11-26,30869.077010287554
2022-12-03,31484.177783118033
2022-12-10,31986.441065773863
2022-12-17,32348.03932021896
2022-12-24,32835.65984623236
2022-12-31,32903.516231766764
2023-01-07,32505.80626149045
2023-01-14,32841.27625583834
2023-01-21,32838.63124515968
2023-01-28,32423.880037505274
2023-02-04,32839.4314161088
2023-02-11,32944.285623802076
2023-02-18,33035.25340159682
2023-02-25,32484.442571901604
2023-03-04,33179.64820893309
2023-03-11,32847.203356741855
2023-03-18,33210.081094780595
2023-03-25,33309.131624330104
2023-04-01,33079.19600347449
2023-04-08,32783.194241076344
2023-04-15,33459.26479145781
2023-04-22,33129.29987173993
2023-04-29,32538.77024756609
2023-05-06,32511.970075430578
2023-05-13,32201.885664998266
2023-05-20,32356.13612315685
2023-05-27,32445.07823337378
2023-06-03,32442.56761102183
2023-06-10,32900.56436289072
2023-06-17,33042.533365034964
2023-06-24,32630.189984573422
2023-07-01,28955.257332336387
2023-07-08,28737.44364423203
2023-07-15,30280.45324079211
2023-07-22,29415.179939548118
2023-07-29,30243.609623817436
2023-08-05,30496.736104648695
2023-08-12,31384.352091861805
2023-08-19,31455.922943755566
2023-08-26,32065.816873835727
2023-09-02,31549.580916722098
2023-09-09,32079.670982518623
2023-09-16,31640.168383513905
2023-09-23,32041.052112114
2023-09-30,32646.05535151043
2023-10-07,33403.145743643676
2023-10-14,33976.562960262796
2023-10-21,35656.61644036634
2023-10-28,36366.65067881451
2023-11-04,36431.51699271993
2023-11-11,37159.08274660933
2023-11-18,37136.052008241335
2023-11-25,38060.39652152242
2023-12-02,37203.23409908781
2023-12-09,37600.093216373236
2023-12-16,37235.15799067154
2023-12-23,38239.57954345057
2023-12-30,36585.59186093097
2024-01-06,36576.71065089163
2024-01-13,36522.156453299176
2024-01-20,36174.128180050175
2024-01-27,37008.13286128502
2024-02-03,36323.58402710133
2024-02-10,36182.73667887016
2024-02-17,35845.999384331524
2024-02-24,35924.04370250065
2024-03-02,35596.92985120459
2024-03-09,35745.81578436884
2024-03-16,35517.39734023622
2024-03-23,35709.26259233835
2024-03-30,34807.55629922242
2024-04-06,35256.66129007995
2024-04-13,34640.525432063936
2024-04-20,34318.866972264594
2024-04-27,33805.934905899834
2024-05-04,34176.48709320771
2024-05-11,33714.56288730417
2024-05-18,33880.26204098872
2024-05-25,33623.79369732284
2024-06-01,34006.87788680623
2024-06-08,34104.70032490053
2024-06-15,34179.111052848355
2024-06-22,34060.4795761872
2024-06-29,30345.812203242433
2024-07-06,29917.287469169085
2024-07-13,31208.052033080785
2024-07-20,30666.21293597361
2024-07-27,32015.05473632892
2024-08-03,32126.171125543602
2024-08-10,32581.212316978304
2024-08-17,32409.619789144544
2024-08-24,33020.75319676233
2024-08-31,32501.35549941628
2024-09-07,33023.82662899537
2024-09-14,32137.187117367685
2024-09-21,32842.49953389918
2024-09-28,33230.76039018533
2024-10-05,34673.65657911911
2024-10-12,35205.462211145794
2024-10-19,36905.86701439309
2024-10-26,37327.74576074709
2024-11-02,37320.42993634376
2024-11-09,38766.08564998252
2024-11-16,37272.3667588463
2024-11-23,42132.81559422372
2024-11-30,33506.550302149364
2024-12-07,41127.60652091718
2024-12-14,37821.10505816296
2024-12-21,40549.146964626285
2024-12-28,35794.33068097334
2025-01-04,38010.31130467693
2025-01-11,39115.81749538207
2025-01-18,39505.07976108621
2025-01-25,36817.56412590006
2025-02-01,38406.30616410389
2025-02-08,36992.14231892782
2025-02-15,37544.344329590655
2025-02-22,37132.57123541277
2025-03-01,37574.7532041522
2025-03-08,36995.49017693851
2025-03-15,37451.46787167874
2025-03-22,36800.40541557542
2025-03-29,37000.61436003204
2025-04-05,36311.97455912815
2025-04-12,36418.03733945953
