State,Filed week ended,Continued Claims
Alabama,2020-01-04,18523
Alabama,2020-01-11,21143
Alabama,2020-01-18,17402
Alabama,2020-01-25,18390
Alabama,2020-02-01,17284
Alabama,2020-02-08,16745
Alabama,2020-02-15,16571
Alabama,2020-02-22,16059
Alabama,2020-02-29,14721
Alabama,2020-03-07,13657
Alabama,2020-03-14,13070
Alabama,2020-03-21,12487
Alabama,2020-03-28,18083
Alabama,2020-04-04,52176
Alabama,2020-04-11,95325
Alabama,2020-04-18,144327
Alabama,2020-04-25,173855
Alabama,2020-05-02,214684
Alabama,2020-05-09,216856
Alabama,2020-05-16,203677
Alabama,2020-05-23,190205
Alabama,2020-05-30,183565
Alabama,2020-06-06,180245
Alabama,2020-06-13,163982
Alabama,2020-06-20,150002
Alabama,2020-06-27,141450
Alabama,2020-07-04,138272
Alabama,2020-07-11,117388
Alabama,2020-07-18,105644
Alabama,2020-07-25,94069
Alabama,2020-08-01,84070
Alabama,2020-08-08,70412
Alabama,2020-08-15,58275
Alabama,2020-08-22,51991
Alabama,2020-08-29,48797
Alabama,2020-09-05,44546
Alabama,2020-09-12,40198
Alabama,2020-09-19,37431
Alabama,2020-09-26,34997
Alabama,2020-10-03,30716
Alabama,2020-10-10,27063
Alabama,2020-10-17,43493
Alabama,2020-10-24,35544
Alabama,2020-10-31,31693
Alabama,2020-11-07,28422
Alabama,2020-11-14,25256
Alabama,2020-11-21,25647
Alabama,2020-11-28,22949
Alabama,2020-12-05,24658
Alabama,2020-12-12,23443
Alabama,2020-12-19,23327
Alabama,2020-12-26,23053
Alabama,2021-01-02,23641
Alabama,2021-01-09,16681
Alabama,2021-01-16,15769
Alabama,2021-01-23,16558
Alabama,2021-01-30,16619
Alabama,2021-02-06,17537
Alabama,2021-02-13,17313
Alabama,2021-02-20,16624
Alabama,2021-02-27,18937
Alabama,2021-03-06,16979
Alabama,2021-03-13,16637
Alabama,2021-03-20,15664
Alabama,2021-03-27,15945
Alabama,2021-04-03,16498
Alabama,2021-04-10,19237
Alabama,2021-04-17,19524
Alabama,2021-04-24,18606
Alabama,2021-05-01,18099
Alabama,2021-05-08,17946
Alabama,2021-05-15,17390
Alabama,2021-05-22,15649
Alabama,2021-05-29,13567
Alabama,2021-06-05,13202
Alabama,2021-06-12,12921
Alabama,2021-06-19,12204
Alabama,2021-06-26,13057
Alabama,2021-07-03,15753
Alabama,2021-07-10,12618
Alabama,2021-07-17,11907
Alabama,2021-07-24,9708
Alabama,2021-07-31,17510
Alabama,2021-08-07,16733
Alabama,2021-08-14,15071
Alabama,2021-08-21,10282
Alabama,2021-08-28,11729
Alabama,2021-09-04,9203
Alabama,2021-09-11,10566
Alabama,2021-09-18,7077
Alabama,2021-09-25,6789
Alabama,2021-10-02,6342
Alabama,2021-10-09,5740
Alabama,2021-10-16,5827
Alabama,2021-10-23,5610
Alabama,2021-10-30,5505
Alabama,2021-11-06,7104
Alabama,2021-11-13,6060
Alabama,2021-11-20,5885
Alabama,2021-11-27,5143
Alabama,2021-12-04,6621
Alabama,2021-12-11,6102
Alabama,2021-12-18,5962
Alabama,2021-12-25,5470
Alabama,2022-01-01,6241
Alabama,2022-01-08,7443
Alabama,2022-01-15,5804
Alabama,2022-01-22,5384
Alabama,2022-01-29,5381
Alabama,2022-02-05,5120
Alabama,2022-02-12,4776
Alabama,2022-02-19,4517
Alabama,2022-02-26,4417
Alabama,2022-03-05,4387
Alabama,2022-03-12,3956
Alabama,2022-03-19,3875
Alabama,2022-03-26,3757
Alabama,2022-04-02,4308
Alabama,2022-04-09,3768
Alabama,2022-04-16,3567
Alabama,2022-04-23,3608
Alabama,2022-04-30,3812
Alabama,2022-05-07,3433
Alabama,2022-05-14,3912
Alabama,2022-05-21,4494
Alabama,2022-05-28,3903
Alabama,2022-06-04,4154
Alabama,2022-06-11,5599
Alabama,2022-06-18,4597
Alabama,2022-06-25,5169
Alabama,2022-07-02,5347
Alabama,2022-07-09,5899
Alabama,2022-07-16,7002
Alabama,2022-07-23,6683
Alabama,2022-07-30,6042
Alabama,2022-08-06,6052
Alabama,2022-08-13,5465
Alabama,2022-08-20,5059
Alabama,2022-08-27,4625
Alabama,2022-09-03,4621
Alabama,2022-09-10,4292
Alabama,2022-09-17,5175
Alabama,2022-09-24,4177
Alabama,2022-10-01,4195
Alabama,2022-10-08,3872
Alabama,2022-10-15,3747
Alabama,2022-10-22,3738
Alabama,2022-10-29,3776
Alabama,2022-11-05,4160
Alabama,2022-11-12,3816
Alabama,2022-11-19,4010
Alabama,2022-11-26,3780
Alabama,2022-12-03,4723
Alabama,2022-12-10,4314
Alabama,2022-12-17,4693
Alabama,2022-12-24,4915
Alabama,2022-12-31,6030
Alabama,2023-01-07,7359
Alabama,2023-01-14,7071
Alabama,2023-01-21,6096
Alabama,2023-01-28,5675
Alabama,2023-02-04,6158
Alabama,2023-02-11,6906
Alabama,2023-02-18,5218
Alabama,2023-02-25,5090
Alabama,2023-03-04,9244
Alabama,2023-03-11,9140
Alabama,2023-03-18,9247
Alabama,2023-03-25,9086
Alabama,2023-04-01,9111
Alabama,2023-04-08,7928
Alabama,2023-04-15,8579
Alabama,2023-04-22,8712
Alabama,2023-04-29,8724
Alabama,2023-05-06,8572
Alabama,2023-05-13,8668
Alabama,2023-05-20,9102
Alabama,2023-05-27,9481
Alabama,2023-06-03,9597
Alabama,2023-06-10,9954
Alabama,2023-06-17,10047
Alabama,2023-06-24,9947
Alabama,2023-07-01,10230
Alabama,2023-07-08,10363
Alabama,2023-07-15,11927
Alabama,2023-07-22,11120
Alabama,2023-07-29,10736
Alabama,2023-08-05,10735
Alabama,2023-08-12,10456
Alabama,2023-08-19,10017
Alabama,2023-08-26,9613
Alabama,2023-09-02,9650
Alabama,2023-09-09,9160
Alabama,2023-09-16,9024
Alabama,2023-09-23,8757
Alabama,2023-09-30,8652
Alabama,2023-10-07,8288
Alabama,2023-10-14,8533
Alabama,2023-10-21,8424
Alabama,2023-10-28,8444
Alabama,2023-11-04,8542
Alabama,2023-11-11,8397
Alabama,2023-11-18,8624
Alabama,2023-11-25,8329
Alabama,2023-12-02,9562
Alabama,2023-12-09,9108
Alabama,2023-12-16,9376
Alabama,2023-12-23,9591
Alabama,2023-12-30,10029
Alabama,2024-01-06,11674
Alabama,2024-01-13,10273
Alabama,2024-01-20,10234
Alabama,2024-01-27,11640
Alabama,2024-02-03,10412
Alabama,2024-02-10,9929
Alabama,2024-02-17,9607
Alabama,2024-02-24,9398
Alabama,2024-03-02,9151
Alabama,2024-03-09,8896
Alabama,2024-03-16,8857
Alabama,2024-03-23,8705
Alabama,2024-03-30,8769
Alabama,2024-04-06,8700
Alabama,2024-04-13,8237
Alabama,2024-04-20,8450
Alabama,2024-04-27,8671
Alabama,2024-05-04,8758
Alabama,2024-05-11,8783
Alabama,2024-05-18,9063
Alabama,2024-05-25,9213
Alabama,2024-06-01,9441
Alabama,2024-06-08,9733
Alabama,2024-06-15,9828
Alabama,2024-06-22,9824
Alabama,2024-06-29,10231
Alabama,2024-07-06,10207
Alabama,2024-07-13,12415
Alabama,2024-07-20,10876
Alabama,2024-07-27,10559
Alabama,2024-08-03,10464
Alabama,2024-08-10,10175
Alabama,2024-08-17,9711
Alabama,2024-08-24,10511
Alabama,2024-08-31,9223
Alabama,2024-09-07,8917
Alabama,2024-09-14,9145
Alabama,2024-09-21,8877
Alabama,2024-09-28,8613
Alabama,2024-10-05,8687
Alabama,2024-10-12,8660
Alabama,2024-10-19,8638
Alabama,2024-10-26,8416
Alabama,2024-11-02,8398
Alabama,2024-11-09,8327
Alabama,2024-11-16,8364
Alabama,2024-11-23,8626
Alabama,2024-11-30,8459
Alabama,2024-12-07,9267
Alabama,2024-12-14,8825
Alabama,2024-12-21,8780
Alabama,2024-12-28,9034
Alabama,2025-01-04,11501
Alabama,2025-01-11,10649
Alabama,2025-01-18,9739
Alabama,2025-01-25,9217
Alabama,2025-02-01,9747
Alabama,2025-02-08,9204
Alabama,2025-02-15,9121
Alabama,2025-02-22,9158
Alabama,2025-03-01,9010
Alabama,2025-03-08,8648
Alabama,2025-03-15,8675
Alabama,2025-03-22,8626
Alabama,2025-03-29,8325
Alabama,2025-04-05,8383
Alabama,2025-04-12,8068
Alaska,2020-01-04,10177
Alaska,2020-01-11,9310
Alaska,2020-01-18,9984
Alaska,2020-01-25,9496
Alaska,2020-02-01,9579
Alaska,2020-02-08,9161
Alaska,2020-02-15,9343
Alaska,2020-02-22,8864
Alaska,2020-02-29,8938
Alaska,2020-03-07,8266
Alaska,2020-03-14,8522
Alaska,2020-03-21,8512
Alaska,2020-03-28,11173
Alaska,2020-04-04,19845
Alaska,2020-04-11,35365
Alaska,2020-04-18,48096
Alaska,2020-04-25,52022
Alaska,2020-05-02,49893
Alaska,2020-05-09,50791
Alaska,2020-05-16,50049
Alaska,2020-05-23,48000
Alaska,2020-05-30,47344
Alaska,2020-06-06,47123
Alaska,2020-06-13,45792
Alaska,2020-06-20,44380
Alaska,2020-06-27,43208
Alaska,2020-07-04,42110
Alaska,2020-07-11,43225
Alaska,2020-07-18,41685
Alaska,2020-07-25,40596
Alaska,2020-08-01,39002
Alaska,2020-08-08,34442
Alaska,2020-08-15,32899
Alaska,2020-08-22,31673
Alaska,2020-08-29,29524
Alaska,2020-09-05,27536
Alaska,2020-09-12,25762
Alaska,2020-09-19,24089
Alaska,2020-09-26,22532
Alaska,2020-10-03,21131
Alaska,2020-10-10,20264
Alaska,2020-10-17,19754
Alaska,2020-10-24,18974
Alaska,2020-10-31,18867
Alaska,2020-11-07,19083
Alaska,2020-11-14,19332
Alaska,2020-11-21,19831
Alaska,2020-11-28,19466
Alaska,2020-12-05,20295
Alaska,2020-12-12,20269
Alaska,2020-12-19,20235
Alaska,2020-12-26,19791
Alaska,2021-01-02,20064
Alaska,2021-01-09,19702
Alaska,2021-01-16,19101
Alaska,2021-01-23,18970
Alaska,2021-01-30,18936
Alaska,2021-02-06,19042
Alaska,2021-02-13,17402
Alaska,2021-02-20,16978
Alaska,2021-02-27,17466
Alaska,2021-03-06,16622
Alaska,2021-03-13,15751
Alaska,2021-03-20,14897
Alaska,2021-03-27,14918
Alaska,2021-04-03,14007
Alaska,2021-04-10,14508
Alaska,2021-04-17,14115
Alaska,2021-04-24,13443
Alaska,2021-05-01,12949
Alaska,2021-05-08,12441
Alaska,2021-05-15,12403
Alaska,2021-05-22,11930
Alaska,2021-05-29,11151
Alaska,2021-06-05,11183
Alaska,2021-06-12,10583
