State,Week,Adjusted Initial Claims
Alabama,2020-01-04,4574.474054871749
Alabama,2020-01-11,2493.6422970416106
Alabama,2020-01-18,1927.773355733673
Alabama,2020-01-25,1658.1796861936684
Alabama,2020-02-01,1666.8718356419429
Alabama,2020-02-08,1966.9101822296273
Alabama,2020-02-15,1997.1445288178384
Alabama,2020-02-22,1941.2099266231057
Alabama,2020-02-29,1833.6261285926134
Alabama,2020-03-07,1675.632250234227
Alabama,2020-03-14,1628.5051505974795
Alabama,2020-03-21,10474.575142015965
Alabama,2020-03-28,66615.18940779264
Alabama,2020-04-04,136391.0060952163
Alabama,2020-04-11,78405.92231071975
Alabama,2020-04-18,70118.05320513903
Alabama,2020-04-25,74438.25249003363
Alabama,2020-05-02,29163.18184927736
Alabama,2020-05-09,25464.99874157171
Alabama,2020-05-16,23133.421901271508
Alabama,2020-05-23,26716.11620436192
Alabama,2020-05-30,20444.523264367897
Alabama,2020-06-06,19075.716858770025
Alabama,2020-06-13,18239.8336545966
Alabama,2020-06-20,18304.047866465775
Alabama,2020-06-27,18879.510720058726
Alabama,2020-07-04,16474.311226407328
Alabama,2020-07-11,17128.047788805092
Alabama,2020-07-18,15240.2785012363
Alabama,2020-07-25,16029.281328744357
Alabama,2020-08-01,11918.538244911973
Alabama,2020-08-08,9331.724176660546
Alabama,2020-08-15,11435.618821142114
Alabama,2020-08-22,9761.190914729672
Alabama,2020-08-29,9300.299546334163
Alabama,2020-09-05,10584.715609590246
Alabama,2020-09-12,11830.61243395806
Alabama,2020-09-19,10897.81027439169
Alabama,2020-09-26,10163.99988371328
Alabama,2020-10-03,9766.917888785096
Alabama,2020-10-10,9673.940742316145
Alabama,2020-10-17,9372.917983695383
Alabama,2020-10-24,8809.76835030005
Alabama,2020-10-31,8721.972534520357
Alabama,2020-11-07,9921.275469192069
Alabama,2020-11-14,11601.347323598338
Alabama,2020-11-21,10962.078438922399
Alabama,2020-11-28,10458.488200932983
Alabama,2020-12-05,7023.575827980722
Alabama,2020-12-12,8140.707071640885
Alabama,2020-12-19,7679.012050259719
Alabama,2020-12-26,6336.096486521833
Alabama,2021-01-02,10977.53865592421
Alabama,2021-01-09,9677.723370497119
Alabama,2021-01-16,9301.137656741605
Alabama,2021-01-23,9046.386592362358
Alabama,2021-01-30,9727.77185556201
Alabama,2021-02-06,12170.256752545818
Alabama,2021-02-13,12185.505259879461
Alabama,2021-02-20,12749.32974862841
Alabama,2021-02-27,13532.742932546375
Alabama,2021-03-06,13695.245667578842
Alabama,2021-03-13,14777.408474855414
Alabama,2021-03-20,13457.69413673994
Alabama,2021-03-27,15390.326407929966
Alabama,2021-04-03,6889.8931493212995
Alabama,2021-04-10,11034.383106336087
Alabama,2021-04-17,9481.431718776554
Alabama,2021-04-24,9746.89707923819
Alabama,2021-05-01,10388.471712740686
Alabama,2021-05-08,10352.735744295316
Alabama,2021-05-15,8625.133088199718
Alabama,2021-05-22,8323.248638759984
Alabama,2021-05-29,6944.5259009549645
Alabama,2021-06-05,6942.187798620001
Alabama,2021-06-12,5515.5461489426425
Alabama,2021-06-19,5981.093462230608
Alabama,2021-06-26,5987.743175256928
Alabama,2021-07-03,6306.680331477825
Alabama,2021-07-10,4527.10887186479
Alabama,2021-07-17,2738.3065021227917
Alabama,2021-07-24,3655.9300249134776
Alabama,2021-07-31,5304.718091383832
Alabama,2021-08-07,6107.464138437597
Alabama,2021-08-14,5661.392172791366
Alabama,2021-08-21,6083.305587360919
Alabama,2021-08-28,5934.664180018897
Alabama,2021-09-04,6058.771602164061
Alabama,2021-09-11,4968.643287136997
Alabama,2021-09-18,5316.433771376243
Alabama,2021-09-25,4617.376437802739
Alabama,2021-10-02,5011.040256700786
Alabama,2021-10-09,4132.929351046613
Alabama,2021-10-16,4113.303409469533
Alabama,2021-10-23,4113.120867449939
Alabama,2021-10-30,4631.54037279275
Alabama,2021-11-06,3906.700324530104
Alabama,2021-11-13,4039.553564954075
Alabama,2021-11-20,3622.7845784773594
Alabama,2021-11-27,3234.8588345613416
Alabama,2021-12-04,3392.526568948891
Alabama,2021-12-11,3309.851434915302
Alabama,2021-12-18,3877.6822085959525
Alabama,2021-12-25,2895.3176098962826
Alabama,2022-01-01,2828.8195826434953
Alabama,2022-01-08,3707.137005384263
Alabama,2022-01-15,3628.841185944095
Alabama,2022-01-22,4129.482713104195
Alabama,2022-01-29,3041.0809204177194
Alabama,2022-02-05,2255.2577686870036
Alabama,2022-02-12,2240.1086032474695
Alabama,2022-02-19,2091.1362264314607
Alabama,2022-02-26,2109.5432031808355
Alabama,2022-03-05,1715.9360926932584
Alabama,2022-03-12,1794.1310180304283
Alabama,2022-03-19,1759.8671052046654
Alabama,2022-03-26,1708.48252000377
Alabama,2022-04-02,2862.270151053359
Alabama,2022-04-09,2166.619178088908
Alabama,2022-04-16,2200.6885376432274
Alabama,2022-04-23,2007.7654741462532
Alabama,2022-04-30,2023.3623839536579
Alabama,2022-05-07,1929.9768415479048
Alabama,2022-05-14,2155.133499589628
Alabama,2022-05-21,2160.7145810899106
Alabama,2022-05-28,2497.231198825533
Alabama,2022-06-04,2458.4524559575784
Alabama,2022-06-11,2572.0677936192733
Alabama,2022-06-18,2919.4716162141863
Alabama,2022-06-25,2782.8180541127026
Alabama,2022-07-02,2679.1504245715946
Alabama,2022-07-09,3280.1756646556655
Alabama,2022-07-16,3893.107128546931
Alabama,2022-07-23,3606.2895367703222
Alabama,2022-07-30,3217.699461158442
Alabama,2022-08-06,3105.9747418038846
Alabama,2022-08-13,2910.9224336970783
Alabama,2022-08-20,2845.3263973434005
Alabama,2022-08-27,2849.8626738150037
Alabama,2022-09-03,2727.9336713178322
Alabama,2022-09-10,2676.8632564177256
Alabama,2022-09-17,2684.585593576384
Alabama,2022-09-24,2458.7529531299588
Alabama,2022-10-01,2489.7303619756112
Alabama,2022-10-08,2749.649396400079
Alabama,2022-10-15,2817.5245671731227
Alabama,2022-10-22,2937.413640234763
Alabama,2022-10-29,2674.6558834612706
Alabama,2022-11-05,2724.841402823518
Alabama,2022-11-12,2217.057305416655
Alabama,2022-11-19,2643.7790123160853
Alabama,2022-11-26,3009.722139115681
Alabama,2022-12-03,2998.0467353501826
Alabama,2022-12-10,2805.3599422356538
Alabama,2022-12-17,2754.7933989132703
Alabama,2022-12-24,3196.817297413304
Alabama,2022-12-31,2623.9774722789894
Alabama,2023-01-07,2302.6165162266293
Alabama,2023-01-14,2191.7455429867737
Alabama,2023-01-21,1834.9794930353607
Alabama,2023-01-28,1840.4723125336843
Alabama,2023-02-04,2248.930392181669
Alabama,2023-02-11,2248.1738007389094
Alabama,2023-02-18,2274.6281157491494
Alabama,2023-02-25,1898.8217242759065
Alabama,2023-03-04,2223.764507677053
