state_name,federal_workers,share_of_employment,DOGE_Intensity_EmploymentBased,DOGE_Intensity_BudgetBased,DOGE_Intensity_WeightedAverage
Alabama,61913,0.0272857143,0.00327428571,0.000709428571,0.00199185714
Alaska,15026,0.045,0.0054,0.00117,0.003285
Arizona,63818,0.0196666667,0.00236,0.000511333333,0.00143566667
Arkansas,20132,0.01525,0.00183,0.0003965,0.00111325
California,255642,0.0140576923,0.00168692308,0.0003655,0.00102621154
Colorado,60566,0.02025,0.00243,0.0005265,0.00147825
Connecticut,21976,0.0122,0.001464,0.0003172,0.0008906
Delaware,9190,0.019,0.00228,0.000494,0.001387
District of Columbia,49115,0.132,0.01584,0.003432,0.009636
Florida,154269,0.0148571429,0.00178285714,0.000386285714,0.00108457143
Georgia,106468,0.0212142857,0.00254571429,0.000551571429,0.00154864286
Hawaii,29371,0.0445,0.00534,0.001157,0.0032485
Idaho,18549,0.0205,0.00246,0.000533,0.0014965
Illinois,89745,0.0149411765,0.00179294118,0.000388470588,0.00109070588
Indiana,48330,0.0146666667,0.00176,0.000381333333,0.00107066667
Iowa,21860,0.0135,0.00162,0.000351,0.0009855
Kansas,28116,0.02025,0.00243,0.0005265,0.00147825
Kentucky,34775,0.0171666667,0.00206,0.000446333333,0.00125316667
Louisiana,34650,0.018,0.00216,0.000468,0.001314
Maine,12008,0.017,0.00204,0.000442,0.001241
Maryland,225403,0.072125,0.008655,0.00187525,0.005265125
Massachusetts,43942,0.012,0.00144,0.000312,0.000876
Michigan,54342,0.0117692308,0.00141230769,0.000306,0.000859153846
Minnesota,31656,0.01075,0.00129,0.0002795,0.00078475
Mississippi,30063,0.02425,0.00291,0.0006305,0.00177025
Missouri,52860,0.018,0.00216,0.000468,0.001314
Montana,15355,0.0285,0.00342,0.000741,0.0020805
Nebraska,17483,0.0173333333,0.00208,0.000450666667,0.00126533333
Nevada,27767,0.01875,0.00225,0.0004875,0.00136875
New Hampshire,13057,0.0175,0.0021,0.000455,0.0012775
New Jersey,56212,0.0121666667,0.00146,0.000316333333,0.000888166667
New Mexico,44222,0.048,0.00576,0.001248,0.003504
New York,129354,0.0139230769,0.00167076923,0.000362,0.00101638462
North Carolina,84897,0.0174285714,0.00209142857,0.000453142857,0.00127228571
North Dakota,9154,0.023,0.00276,0.000598,0.001679
Ohio,81075,0.0144666667,0.001736,0.000376133333,0.00105606667
Oklahoma,60134,0.0342,0.004104,0.0008892,0.0024966
Oregon,25316,0.0128333333,0.00154,0.000333666667,0.000936833333
Pennsylvania,90519,0.0147058824,0.00176470588,0.000382352941,0.00107352941
Rhode Island,11942,0.022,0.00264,0.000572,0.001606
South Carolina,43153,0.0174285714,0.00209142857,0.000453142857,0.00127228571
South Dakota,10456,0.023,0.00276,0.000598,0.001679
Tennessee,66638,0.0201111111,0.00241333333,0.000522888889,0.00146811111
Texas,249037,0.0176052632,0.00211263158,0.000457736842,0.00128518421
Utah,35193,0.0205,0.00246,0.000533,0.0014965
Vermont,5528,0.017,0.00204,0.000442,0.001241
Virginia,235467,0.0545454545,0.00654545455,0.00141818182,0.00398181818
Washington,78253,0.0217,0.002604,0.0005642,0.0015841
West Virginia,22977,0.0305,0.00366,0.000793,0.0022265
Wisconsin,28916,0.00975,0.00117,0.0002535,0.00071175
Wyoming,8111,0.029,0.00348,0.000754,0.002117
