state_name,federal_workers,share_of_employment,DOGE_Intensity_EmploymentBased,DOGE_Intensity_BudgetBased
Alabama,61913,0.027285714285714285,0.003274285714285714,0.0007094285714285714
Alaska,15026,0.045,0.005399999999999999,0.0011699999999999998
Arizona,63818,0.019666666666666666,0.0023599999999999997,0.0005113333333333333
Arkansas,20132,0.01525,0.0018299999999999998,0.0003965
California,255642,0.014057692307692308,0.0016869230769230767,0.0003655
Colorado,60566,0.02025,0.00243,0.0005265
Connecticut,21976,0.012199999999999999,0.0014639999999999998,0.00031719999999999996
Delaware,9190,0.019,0.00228,0.000494
District of Columbia,49115,0.132,0.01584,0.003432
Florida,154269,0.014857142857142857,0.0017828571428571427,0.0003862857142857143
Georgia,106468,0.021214285714285713,0.0025457142857142857,0.0005515714285714285
Hawaii,29371,0.0445,0.005339999999999999,0.0011569999999999998
Idaho,18549,0.0205,0.00246,0.0005329999999999999
Illinois,89745,0.014941176470588236,0.0017929411764705883,0.0003884705882352941
Indiana,48330,0.014666666666666668,0.00176,0.00038133333333333335
Iowa,21860,0.0135,0.00162,0.00035099999999999997
Kansas,28116,0.02025,0.00243,0.0005265
Kentucky,34775,0.017166666666666667,0.0020599999999999998,0.0004463333333333333
Louisiana,34650,0.018,0.0021599999999999996,0.00046799999999999994
Maine,12008,0.017,0.00204,0.000442
Maryland,225403,0.072125,0.008655,0.0018752499999999997
Massachusetts,43942,0.012,0.0014399999999999999,0.000312
Michigan,54342,0.01176923076923077,0.0014123076923076923,0.000306
Minnesota,31656,0.01075,0.00129,0.00027949999999999996
Mississippi,30063,0.02425,0.00291,0.0006305
Missouri,52860,0.018000000000000002,0.00216,0.00046800000000000005
Montana,15355,0.0285,0.00342,0.000741
Nebraska,17483,0.017333333333333333,0.00208,0.0004506666666666666
Nevada,27767,0.01875,0.00225,0.0004875
New Hampshire,13057,0.0175,0.0021000000000000003,0.000455
New Jersey,56212,0.012166666666666666,0.00146,0.0003163333333333333
New Mexico,44222,0.047999999999999994,0.0057599999999999995,0.0012479999999999998
New York,129354,0.013923076923076923,0.0016707692307692307,0.000362
North Carolina,84897,0.01742857142857143,0.0020914285714285713,0.00045314285714285714
North Dakota,9154,0.023,0.00276,0.000598
Ohio,81075,0.014466666666666666,0.001736,0.0003761333333333333
Oklahoma,60134,0.034199999999999994,0.004103999999999999,0.0008891999999999998
Oregon,25316,0.012833333333333334,0.00154,0.0003336666666666667
Pennsylvania,90519,0.014705882352941176,0.001764705882352941,0.00038235294117647055
Rhode Island,11942,0.022,0.0026399999999999996,0.0005719999999999999
South Carolina,43153,0.01742857142857143,0.0020914285714285713,0.00045314285714285714
South Dakota,10456,0.023,0.00276,0.000598
Tennessee,66638,0.02011111111111111,0.0024133333333333333,0.0005228888888888888
Texas,249037,0.01760526315789474,0.0021126315789473686,0.00045773684210526316
Utah,35193,0.0205,0.00246,0.0005329999999999999
Vermont,5528,0.017,0.00204,0.000442
Virginia,235467,0.05454545454545454,0.006545454545454545,0.001418181818181818
Washington,78253,0.0217,0.002604,0.0005641999999999999
West Virginia,22977,0.0305,0.0036599999999999996,0.000793
Wisconsin,28916,0.00975,0.00117,0.0002535
Wyoming,8111,0.029,0.00348,0.000754
